
locality,home_type,subtype,price,type_of_sale,room,area,equipped,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_land_area,facades,swimming_pool,state_of_building
 Rue de la Tannerie 24,Villa,,320000,,,,,0,,,,,, 9.2 ares,,0,
 Boomsestraat 154,Maison,,320000,,,,,0,,,,1, 0.43 are, 1 are,,0, Bien neuf
,Maison,,320000,,,,,,,,,,, 9.83 ares,,0,
,Appartement,,320000,,,,,0,,,,,,,,0,
 Langergasse 4,Maison,,320000,,,,,0,,,,,, 7.67 ares,,0, Rénové
 Rue du Hangar,Maison,,322300,,,,,0,,,,,, 4.6 ares,,0, Bien neuf
 Rue Antoine Nélis,Maison,,322400,,,,,0,,,,,, 5.96 ares,,0, Bien neuf
 Rue Antoine Nélis,Maison,,324100,,,,,0,,,,,, 5.13 ares,,0, Bien neuf
 Rue Antoine Nélis,Maison,,324400,,,,,0,,,,,, 5.14 ares,,0, Bien neuf
 Brieversweg 426,Maison,,325000,,,,,0,,,,,,,,0,
 Rue de la Crête Lot 35,Villa,,326700,,,,,0,,,,,, 9.92 ares,,0, Bien neuf
 Rue Antoine Nélis,Maison,,326900,,,,,0,,,,,, 4.15 ares,,0, Bien neuf
 Henegouwenstraat 4 Permeke,Appartement,,327000,,,,,0,,,,,, 0.6 are,,0, Bien neuf
 Rue Sainte-Catherine,Appartement,,327000,,,,,0,,,,,,,,0,
 Rue Cléchêne - Rue des Biolettes,Maison,,329900,,,,,0,,,,1, 12.18 ares, 12.94 ares,,0, Bien neuf
 rue de caumont 8,Maison,,330000,,,,,0,,,,,, 97 ares,,0,
 rue de caumont 8,Ferme,,330000,,,,,0,,,,,, 97 ares,,0,
 Rue du Marché aux Poulets 49,Appartement,,330000,,1,,,0,,,,,, 1.3 are,,0,
